omega_rad_s,Re,Im
0.001,19.999973950026305,-0.024999973737526313
0.0010023056227909427,19.999973829765125,-0.025057614125226783
0.0010046165614783385,19.999973708948747,-0.025115387409076297
0.0010069328283186414,19.99997358757462,-0.025173293895477466
0.0010092544355965601,19.999973465640156,-0.02523133389153918
0.0010115813956251317,19.999973343142777,-0.025289507705078495
0.0010139137207457786,19.99997322007989,-0.025347815644622053
0.0010162514233283786,19.99997309644887,-0.025406258019407775
0.0010185945157713324,19.9999729722471,-0.02546483513938665
0.001020943010501624,19.99997284747195,-0.02552354731522414
0.0010232969199748892,19.999972722120766,-0.02558239485830196
0.0010256562566754847,19.999972596190894,-0.025641378080719777
0.0010280210331165475,19.99997246967966,-0.025700497295296703
0.0010303912618400695,19.999972342584382,-0.02575975281557316
0.0010327669554169561,19.99997221490236,-0.025819144955812345
0.001035148126447097,19.999972086630883,-0.025878674031001973
0.001037534787559435,19.99997195776724,-0.025938340356856066
0.001039926951412027,19.999971828308688,-0.025998144249816387
0.001042324630692118,19.999971698252487,-0.02605808602705437
0.0010447278381162026,19.999971567595875,-0.026118166006472605
0.0010471365864300945,19.999971436336075,-0.026178384506706575
0.0010495508884089978,19.999971304470314,-0.02623874184712649
0.0010519707568575677,19.999971171995785,-0.026299238347838743
0.0010543962046099826,19.99997103890968,-0.026359874329687744
0.001056827244530015,19.999970905209178,-0.026420650114257704
0.0010592638895110915,19.99997077089144,-0.02648156602387408
0.0010617061524763709,19.999970635953616,-0.026542622381605596
0.0010641540463788043,19.99997050039285,-0.026603819511265697
0.0010666075842012083,19.999970364206256,-0.026665157737414402
0.001069066778956335,19.999970227390946,-0.026726637385360026
0.0010715316436869364,19.99997008994403,-0.026788258781160833
0.0010740021914658361,19.999969951862575,-0.026850022251626797
0.001076478435396002,19.999969813143665,-0.026911928124321423
0.0010789603886106084,19.99996967378435,-0.02697397672756329
0.0010814480642731134,19.999969533781677,-0.027036168390428016
0.0010839414755773225,19.99996939313267,-0.02709850344274983
0.0010864406357474605,19.999969251834358,-0.027160982215123357
0.001088945558038246,19.99996910988373,-0.02722360503890548
0.0010914562557349538,19.99996896727778,-0.02728637224621694
0.0010939727421534933,19.999968824013482,-0.02734928416994424
0.0010964950306404724,19.9999686800878,-0.02741234114374128
0.0010990231345732713,19.999968535497676,-0.02747554350203118
0.0011015570673601168,19.999968390240042,-0.02753889158000817
0.0011040968424401462,19.999968244311827,-0.027602385713639144
0.001106642473283483,19.999968097709917,-0.027666026239665555
0.0011091939733913106,19.99996795043122,-0.027729813495605295
0.0011117513562959368,19.9999678024726,-0.027793747819754293
0.001114314635560874,19.999967653830918,-0.027857829551188488
0.001116883824780904,19.999967504503033,-0.02792205902976549
0.001119458937582153,19.99996735448576,-0.027986436596126422
0.001122039987622167,19.999967203775924,-0.028050962591697825
0.0011246269885899765,19.999967052370337,-0.028115637358693275
0.0011272199542061787,19.99996690026578,-0.028180461240115445
0.001129818898223002,19.99996674745901,-0.028245434579757627
0.0011324238344243816,19.999966593946812,-0.028310557722205802
0.0011350347766260372,19.999966439725917,-0.02837583101284042
0.0011376517386755386,19.99996628479305,-0.028441254797838097
0.0011402747344523834,19.999966129144926,-0.028506829424173555
0.001142903777868073,19.999965972778252,-0.028572555239621558
0.001145538882866179,19.9999658156897,-0.02863843259275849
0.0011481800634224263,19.999965657875933,-0.0287044618329645
0.001150827333544759,19.99996549933362,-0.028770643310425136
0.0011534807072734183,19.999965340059386,-0.028836977376133274
0.0011561401986810208,19.99996518004986,-0.028903464381891075
0.0011588058218726248,19.99996501930163,-0.028970104680311647
0.0011614775909858102,19.99996485781131,-0.029036898624821086
0.0011641555201907562,19.999964695575457,-0.029103846569660335
0.0011668396236903086,19.999964532590635,-0.02917094886988691
0.0011695299157200641,19.99996436885338,-0.02923820588137702
0.0011722264105484374,19.999964204360236,-0.029305617960827243
0.0011749291224767418,19.99996403910769,-0.029373185465756492
0.0011776380658392663,19.999963873092252,-0.029440908754508
0.0011803532550033458,19.999963706310396,-0.02950878818625104
0.001183074704369445,19.999963538758585,-0.02957682412098304
0.0011858024283712269,19.999963370433264,-0.029645016919531277
0.0011885364414756336,19.99996320133086,-0.029713366943554923
0.0011912767581829659,19.999963031447784,-0.029781874555546994
0.0011940233930269528,19.999962860780435,-0.029850540118836123
0.0011967763605748333,19.99996268932519,-0.029919363997588606
0.001199535675427436,19.99996251707842,-0.02998834655681035
0.001202301352219249,19.999962344036458,-0.030057488162348666
0.001205073405618507,19.99996217019564,-0.030126789180894415
0.00120785185032726,19.999961995552283,-0.030196249979983762
0.0012106367010814557,19.999961820102673,-0.03026587092800017
0.0012134279726510207,19.999961643843093,-0.030335652394176495
0.001216225679839931,19.9999614667698,-0.030405594748596713
0.0012190298374862997,19.99996128887904,-0.03047569836219813
0.0012218404604624473,19.99996111016704,-0.030545963606773127
0.0012246575636749842,19.999960930630007,-0.030616390854971212
0.0012274811620648935,19.999960750264133,-0.030686980480301114
0.0012303112706076032,19.999960569065593,-0.030757732857132566
0.0012331479043130684,19.999960387030537,-0.03082864836069837
0.001235991078225856,19.99996020415511,-0.03089972736709652
0.001238840807425214,19.99996002043543,-0.030970970253291923
0.0012416971070251634,19.9999598358676,-0.031042377397118685
0.0012445599921745683,19.999959650447703,-0.031113949177281885
0.00124742947805722,19.99995946417181,-0.031185685973359686
0.0012503055798919226,19.999959277035963,-0.0312575881658054
0.001253188312932563,19.99995908903619,-0.031329656135949346
0.0012560776924682034,19.99995890016851,-0.03140189026600112
