omega_rad_s,Re,Im
0.001,31.500113938669074,-0.03937515234587482
0.0010023056227909427,31.500113749256784,-0.039465936403122626
0.0010046165614783385,31.500113558970053,-0.0395569297728349
0.0010069328283186414,31.50011336780486,-0.03964813293759815
0.0010092544355965601,31.50011317575714,-0.039739546381111227
0.0010115813956251317,31.50011298282282,-0.039831170588188414
0.0010139137207457786,31.500112788997814,-0.039923006044761525
0.0010162514233283786,31.500112594278,-0.0400150532378827
0.0010185945157713324,31.50011239865925,-0.04010731265572716
0.001020943010501624,31.50011220213742,-0.04019978478759539
0.0010232969199748892,31.50011200470834,-0.04029247012391603
0.0010256562566754847,31.500111806367812,-0.04038536915624845
0.0010280210331165475,31.500111607111638,-0.040478482377285185
0.0010303912618400695,31.50011140693559,-0.04057181028085483
0.0010327669554169561,31.500111205835417,-0.04066535336192436
0.001035148126447097,31.50011100380685,-0.04075911211660185
0.001037534787559435,31.50011080084561,-0.04085308704213936
0.001039926951412027,31.50011059694739,-0.040947278636935085
0.001042324630692118,31.500110392107867,-0.04104168740053652
0.0010447278381162026,31.50011018632269,-0.04113631383364269
0.0010471365864300945,31.50010997958749,-0.04123115843810695
0.0010495508884089978,31.500109771897893,-0.041326221716939865
0.0010519707568575677,31.50010956324948,-0.04142150417431148
0.0010543962046099826,31.500109353637836,-0.041517006315554224
0.001056827244530015,31.50010914305851,-0.041612728647165725
0.0010592638895110915,31.50010893150703,-0.041708671676811075
0.0010617061524763709,31.50010871897891,-0.041804835913326004
0.0010641540463788043,31.50010850546965,-0.04190122186671922
0.0010666075842012083,31.500108290974712,-0.04199783004817525
0.001069066778956335,31.500108075489543,-0.04209466097005722
0.0010715316436869364,31.50010785900958,-0.042191715145909414
0.0010740021914658361,31.50010764153022,-0.04228899309046009
0.001076478435396002,31.50010742304686,-0.04238649531962428
0.0010789603886106084,31.500107203554858,-0.042484222350506314
0.0010814480642731134,31.500106983049566,-0.04258217470140283
0.0010839414755773225,31.500106761526293,-0.042680352891805294
0.0010864406357474605,31.500106538980358,-0.042778757442402816
0.001088945558038246,31.500106315407013,-0.04287738887508503
0.0010914562557349538,31.500106090801545,-0.04297624771294468
0.0010939727421534933,31.500105865159163,-0.04307533448028061
0.0010964950306404724,31.500105638475098,-0.04317464970260028
0.0010990231345732713,31.500105410744528,-0.04327419390662269
0.0011015570673601168,31.50010518196263,-0.04337396762028137
0.0011040968424401462,31.500104952124563,-0.04347397137272676
0.001106642473283483,31.500104721225423,-0.04357420569432927
0.0011091939733913106,31.500104489260327,-0.0436746711166822
0.0011117513562959368,31.500104256224358,-0.043775368172604245
0.001114314635560874,31.50010402211256,-0.04387629739614264
0.001116883824780904,31.500103786919976,-0.04397745932257576
0.001119458937582153,31.500103550641615,-0.04407885448841601
0.001122039987622167,31.500103313272454,-0.04418048343141283
0.0011246269885899765,31.500103074807477,-0.04428234669055527
0.0011272199542061787,31.50010283524162,-0.04438444480607519
0.001129818898223002,31.50010259456978,-0.04448677831944968
0.0011324238344243816,31.500102352786875,-0.04458934777340435
0.0011350347766260372,31.50010210988777,-0.044692153711916066
0.0011376517386755386,31.500101865867308,-0.04479519668021569
0.0011402747344523834,31.500101620720304,-0.04489847722479109
0.001142903777868073,31.50010137444158,-0.04500199589339022
0.001145538882866179,31.500101127025893,-0.04510575323502359
0.0011481800634224263,31.50010087846799,-0.045209749799967634
0.001150827333544759,31.50010062876262,-0.045313986139767296
0.0011534807072734183,31.500100377904467,-0.045418462807239095
0.0011561401986810208,31.50010012588822,-0.04552318035647415
0.0011588058218726248,31.500099872708514,-0.04562813934284084
0.0011614775909858102,31.500099618360007,-0.04573334032298801
0.0011641555201907562,31.500099362837286,-0.04583878385484786
0.0011668396236903086,31.500099106134925,-0.04594447049763877
0.0011695299157200641,31.50009884824748,-0.04605040081186851
0.0011722264105484374,31.5000985891695,-0.046156575359336954
0.0011749291224767418,31.500098328895465,-0.04626299470313916
0.0011776380658392663,31.500098067419863,-0.04636965940766848
0.0011803532550033458,31.50009780473715,-0.04647657003861933
0.001183074704369445,31.50009754084175,-0.046583727162990446
0.0011858024283712269,31.50009727572806,-0.04669113134908757
0.0011885364414756336,31.500097009390466,-0.04679878316652669
0.0011912767581829659,31.500096741823302,-0.04690668318623714
0.0011940233930269528,31.500096473020903,-0.04701483198046433
0.0011967763605748333,31.500096202977566,-0.047123230122772995
0.001199535675427436,31.500095931687568,-0.04723187818805024
0.001202301352219249,31.50009565914514,-0.04734077675250845
0.001205073405618507,31.50009538534451,-0.04744992639368857
0.00120785185032726,31.50009511027986,-0.04755932769046288
0.0012106367010814557,31.50009483394537,-0.04766898122303821
0.0012134279726510207,31.500094556335164,-0.047778887572959165
0.001216225679839931,31.500094277443356,-0.04788904732311088
0.0012190298374862997,31.500093997264027,-0.04799946105772248
0.0012218404604624473,31.500093715791245,-0.048110129362369844
0.0012246575636749842,31.50009343301903,-0.04822105282397884
0.0012274811620648935,31.50009314894138,-0.0483322320308286
0.0012303112706076032,31.500092863552272,-0.04844366757255437
0.0012331479043130684,31.500092576845653,-0.04855536004015071
0.001235991078225856,31.500092288815434,-0.048667310025974866
0.001238840807425214,31.500091999455517,-0.04877951812374951
0.0012416971070251634,31.500091708759754,-0.04889198492856627
0.0012445599921745683,31.50009141672198,-0.04900471103688858
0.00124742947805722,31.500091123336006,-0.04911769704655501
0.0012503055798919226,31.500090828595592,-0.049230943556782446
0.001253188312932563,31.500090532494497,-0.049344451168169115
0.0012560776924682034,31.50009023502644,-0.049458220482698066
