t,D0.2,D0.5,D0.8,D1.0,D1.2
0.0,0.0,0.0,0.0,0.0,0.0
0.010005002501250625,4.998292067301671e-05,4.9883121442167205e-05,4.978362101093209e-05,4.971745285966765e-05,4.965141671412711e-05
0.02001000500250125,0.000199660424476255,0.00019886484140933932,0.00019807401042593997,0.0001975494129906317,0.0001970269024314932
0.030015007503751877,0.00044861937821502455,0.00044594378296099516,0.000443292100330001,0.0004415374699909206,0.00043979327830228915
0.0400200100050025,0.0007964383806118765,0.0007901187674842875,0.0007838742741419723,0.0007797524822968816,0.0007756632876771144
0.05002501250625312,0.0012426878374270107,0.0012303889124372167,0.0012182722765095328,0.0012102941885207205,0.00120239473278204
0.060030015007503754,0.0017869300370971213,0.001765753728089271,0.0017449531231096384,0.001731290823625735,0.00171778962742029
0.07003501750875438,0.0024287192268830564,0.0023952132132598783,0.0023623990103649488,0.0023408987398814357,0.0023196933654040983
0.080040020010005,0.003167601689516648,0.003117767950055109,0.0030691072250865216,0.0030373020325414296,0.003005993904425773
0.09004502251125562,0.004003115820337068,0.00393241919760317,0.003863590054052925,0.003818712170187594,0.00377462096508238
0.10005002501250625,0.0049347922049070405,0.004838168984789322,0.004744374693535749,0.004683367629684739,0.004623545244773731
0.11005502751375687,0.005962153697099252,0.0058340202019909315,0.005710003158781357,0.005629533535690589,0.005550777646198545
0.12006003001500751,0.007084715497643267,0.006918976691813499,0.006759032193458559,0.0066555013046665674,0.0065543685201787305
0.13006503251625812,0.008301985233123277,0.008092043338828547,0.00789003317908174,0.007759588293335497,0.0076324069225467365
0.14007003501750875,0.009613463035416974,0.009352226158314375,0.00910159204441883,0.008940137451532961,0.0087830198848358
0.15007503751875936,0.011018641621565867,0.010698532384000784,0.010392309174893342,0.010195516979399681,0.010004371698517745
0.16008004002001,0.012517006374067335,0.012129970554818919,0.011760799321989587,0.011524119988862882,0.011294663212537696
0.17008504252126064,0.0141080354215787,0.013645550600657514,0.013205691512669995,0.012924364169355234,0.012652131143899696
0.18009004502251125,0.015791199720023626,0.015244283927126895,0.014725628958813358,0.014394691457720541,0.014075047401061783
