D,Mp,Mp_percent
0.01,0.9690709039764231,96.90709039764232
0.011636060100166944,0.9641019468539418,96.41019468539417
0.01327212020033389,0.9591581866423058,95.91581866423059
0.014908180300500834,0.9542394576011632,95.42394576011633
0.01654424040066778,0.94934559541195,94.934559541195
0.018180300500834724,0.9444764371633528,94.44764371633528
0.01981636060100167,0.9396318213369484,93.96318213369484
0.021452420701168616,0.9348115877930144,93.48115877930144
0.02308848080133556,0.930015577756511,93.0015577756511
0.0247245409015025,0.9252436338032303,92.52436338032302
0.026360601001669447,0.9204955998461112,92.04955998461112
0.027996661101836393,0.9157713211217179,91.57713211217178
0.02963272120200334,0.9110706441768788,91.10706441768788
0.031268781302170284,0.9063934168554858,90.63934168554859
0.03290484140233723,0.9017394882854487,90.17394882854487
0.03454090150250417,0.8971087088658054,89.71087088658054
0.036176961602671115,0.8925009302539842,89.25009302539843
0.03781302170283806,0.8879160053532171,88.79160053532172
0.03944908180300501,0.8833537883001007,88.33537883001007
0.04108514190317195,0.8788141344523046,87.88141344523046
0.0427212020033389,0.8742969003764239,87.42969003764239
0.044357262103505844,0.869801943835974,86.9801943835974
0.04599332220367279,0.8653291237795266,86.53291237795267
0.04762938230383973,0.8608783003289849,86.0878300328985
0.049265442404006675,0.856449334767994,85.6449334767994
0.05090150250417362,0.852042089530489,85.2042089530489
0.05253756260434057,0.8476564281893743,84.76564281893742
0.05417362270450751,0.8432922154453355,84.32922154453355
0.05580968280467446,0.8389493171157815,83.89493171157815
0.0574457429048414,0.8346276001239135,83.46276001239134
0.05908180300500834,0.8303269324879218,83.03269324879217
0.06071786310517529,0.8260471833103067,82.60471833103067
0.062353923205342235,0.8217882227673221,82.1788222767322
0.06398998330550917,0.8175499220985422,81.75499220985422
0.06562604340567613,0.813332153596546,81.3332153596546
0.06726210350584307,0.8091347905967223,80.91347905967223
0.06889816360601,0.8049577074671902,80.49577074671902
0.07053422370617696,0.8008007795988348,80.08007795988348
0.0721702838063439,0.7966638833954578,79.66638833954578
0.07380634390651084,0.7925468962640397,79.25468962640397
0.07544240400667779,0.7884496966051129,78.84496966051128
0.07707846410684473,0.7843721638032443,78.43721638032443
0.07871452420701168,0.7803141782176259,78.03141782176259
0.08035058430717862,0.7762756211727727,77.62756211727726
0.08198664440734557,0.7722563749493248,77.22563749493247
0.08362270450751251,0.7682563227749537,76.82563227749537
0.08525876460767945,0.764275348815372,76.4275348815372
0.0868948247078464,0.7603133381654434,76.03133381654435
0.08853088480801334,0.7563701768403935,75.63701768403935
0.0901669449081803,0.7524457517671181,75.24457517671182
0.09180300500834723,0.7485399507755904,74.85399507755905
0.09343906510851419,0.7446526625903634,74.46526625903634
0.09507512520868112,0.7407837768221678,74.07837768221678
0.09671118530884806,0.736933183959603,73.6933183959603
0.09834724540901502,0.7331007753609217,73.31007753609217
0.09998330550918196,0.7292864432459051,72.92864432459051
0.10161936560934891,0.7254900806878292,72.54900806878291
0.10325542570951585,0.7217115816055184,72.17115816055184
0.10489148580968279,0.7179508407554902,71.79508407554903
0.10652754590984974,0.7142077537241834,71.42077537241835
0.10816360601001668,0.7104822169202749,71.0482216920275
0.10979966611018363,0.7067741275670791,70.67741275670791
0.11143572621035057,0.7030833836950333,70.30833836950333
0.11307178631051752,0.6994098841342627,69.94098841342627
0.11470784641068446,0.6957535285072306,69.57535285072306
0.1163439065108514,0.6921142172214657,69.21142172214657
0.11797996661101835,0.6884918514623716,68.84918514623716
0.11961602671118529,0.6848863331861138,68.48863331861138
0.12125208681135224,0.6812975651125845,68.12975651125845
0.12288814691151918,0.6777254507184443,67.77254507184442
0.12452420701168614,0.6741698942302384,67.41698942302385
0.12616026711185307,0.6706308006175904,67.06308006175904
0.12779632721202003,0.6671080755864667,66.71080755864666
0.12943238731218698,0.6636016255725163,66.36016255725164
0.1310684474123539,0.6601113577344818,66.01113577344819
0.13270450751252086,0.6566371799476811,65.6637179947681
0.1343405676126878,0.6531790007975604,65.31790007975604
0.13597662771285476,0.6497367295733163,64.97367295733163
0.1376126878130217,0.6463102762615867,64.63102762615867
0.13924874791318864,0.6428995515402083,64.28995515402083
0.1408848080133556,0.6395044667720439,63.95044667720439
0.14252086811352255,0.636124933998872,63.61249339988721
0.14415692821368947,0.6327608659353462,63.27608659353462
0.14579298831385643,0.6294121759630145,62.94121759630145
0.14742904841402338,0.6260787781244063,62.60787781244063
0.1490651085141903,0.6227605871171809,62.276058711718086
0.15070116861435726,0.6194575182883374,61.94575182883374
0.1523372287145242,0.6161694876284878,61.61694876284878
0.15397328881469116,0.6128964117661901,61.289641176619014
0.1556093489148581,0.6096382079623414,60.96382079623414
0.15724540901502504,0.6063947941046302,60.63947941046302
0.158881469115192,0.6031660887020481,60.31660887020481
0.16051752921535892,0.5999520108794595,59.99520108794595
0.16215358931552587,0.5967524803722265,59.67524803722265
0.16378964941569282,0.5935674175208939,59.35674175208939
0.16542570951585978,0.5903967432659268,59.03967432659268
0.1670617696160267,0.5872403791425062,58.724037914250616
0.16869782971619365,0.5840982472753761,58.409824727537604
0.1703338898163606,0.5809702703737482,58.097027037374815
0.17196994991652753,0.5778563717262574,57.785637172625734
0.17360601001669448,0.5747564751959706,57.47564751959706
0.17524207011686144,0.5716705052154478,57.16705052154478
0.1768781302170284,0.568598386781855,56.859838678185504
0.17851419031719531,0.565540045452127,56.5540045452127
0.18015025041736227,0.5624954073381817,56.24954073381817
0.18178631051752922,0.5594643991021836,55.94643991021836
0.18342237061769615,0.5564469479518555,55.64469479518554
