w,D0.2,D0.5,D0.8,D1.2
0.01,0.0007991319356503132,0.0004342727642846472,-0.00024324152739776424,-0.0016326837479292895
0.010077112648825867,0.0008115045640466236,0.0004409958308590929,-0.0002470079667680225,-0.001657956805130751
0.010154819933712634,0.0008240687601561239,0.0004478229732483166,-0.00025083273608795625,-0.0016836210104299635
0.010233126440056464,0.0008368274902881515,0.0004547558024192367,-0.00025471673898291495,-0.0017096824155503842
0.010312036788612746,0.0008497837666924527,0.0004617959542756341,-0.00025866089308447987,-0.001736147165773171
0.010391555635768717,0.0008629406482697674,0.00046894509003006274,-0.0002626661302504321,-0.0017630215014055603
0.010471687673818272,0.0008763012412920245,0.0004762048966046777,-0.00026673339678183,-0.0017903117592281666
0.010552437631238804,0.0008898687001437153,0.00048357708703012595,-0.0002708636536497336,-0.0018180243739838954
0.010633810272970267,0.0009036462280516629,0.0004910634008424975,-0.0002750578767257897,-0.0018461658799026877
0.010715810400696312,0.0009176370778610366,0.0004986656045014799,-0.00027931705700606996,-0.0018747429122293127
0.010798442853127666,0.000931844552788189,0.0005063854917988598,-0.00028364220085323467,-0.001903762208783138
0.010881712506287609,0.0009462720072139513,0.0005142248842901546,-0.0002880343302300216,-0.0019332306115441057
0.010965624273799749,0.0009609228474653191,0.0005221856317108053,-0.0002924944829472035,-0.001963155068256235
0.011050183107177949,0.000975800532627952,0.0005302696124251416,-0.0002970237129028702,-0.0019935426340679427
0.011135393996118483,0.0009909085753586318,0.0005384787338676206,-0.0003016230903352154,-0.002024400473176402
0.011221261968794524,0.0010062505427150324,0.0005468149329821252,-0.00030629370208014995,-0.0020557358605299467
0.011307792092152795,0.0010218300570066577,0.0005552801766882468,-0.00031103665181831096,-0.0020875561835152377
0.01139498947221261,0.00103765079663995,0.0005638764623436999,-0.00031585306035004104,-0.002119868943708273
0.01148285925436713,0.0010537164969980596,0.0005726058182105771,-0.0003207440658510861,-0.0021526817586323527
0.011571406623687022,0.0010700309513109252,0.0005814703039370196,-0.00032571082414758345,-0.0021860023635403574
0.011660636805226391,0.0010865980115600156,0.0005904720110427303,-0.00033075450899105584,-0.0022198386132416116
0.011750555064331137,0.0011034215893984444,0.0005996130634083263,-0.00033587631232762354,-0.002254198483943425
0.011841166706949615,0.001120505657045964,0.0006088956177801057,-0.00034107744459518783,-0.00228909007511698
0.01193247707994577,0.0011378542482610389,0.0006183218642786554,-0.00034635913499940415,-0.0023245216114058808
0.012024491571414634,0.001155471459272366,0.0006278940269055111,-0.00035172263180894734,-0.002360501444558099
0.012117215611000244,0.0011733614497585452,0.0006376143640825876,-0.00035716920265078304,-0.002397038055382272
0.012210654670216087,0.0011915284438199774,0.0006474851691742327,-0.0003627001348131586,-0.002434140055738982
0.01230481426276792,0.0012099767309892654,0.0006575087710227632,-0.00036831673554763673,-0.0024718161905602667
0.01239969994487916,0.0012287106672338375,0.0006676875345148364,-0.000374020332386564,-0.002510075339914734
0.01249531731561872,0.0012477346759990006,0.0006780238611188772,-0.00037981227344415175,-0.00254892652106717
0.012591672017231433,0.0012670532492432115,0.0006885201894649091,-0.0003856939277532452,-0.00258837889062138
0.012688769735470961,0.0012866709484964174,0.0006991789959108669,-0.0003916666855722033,-0.002628441746648862
0.012786616199935328,0.0013065924059511035,0.0007100027951320283,-0.0003977319587380752,-0.002669124530873727
0.01288521718440501,0.0013268223255455556,0.0007209941407084963,-0.0004038911809783162,-0.0027104368308984456
0.012984578507183615,0.0013473654840856098,0.0007321556257300143,-0.0004101458082630139,-0.0027523883824434256
0.013084706031441257,0.0013682267323643928,0.0007434898834026854,-0.00041649731915326517,-0.002794989071628394
0.01318560566556048,0.0013894109963166928,0.000754999587674954,-0.00042294721514377347,-0.0028382489372946436
0.01328728336348496,0.0014109232781751692,0.0007666874538674177,-0.0004294970210208851,-0.0028821781733623553
0.01338974512507078,0.0014327686576650473,0.0007785562393026147,-0.0004361482852370274,-0.002926787131211436
0.013492996996440533,0.0014549522931929298,0.0007906087439656387,-0.00044290258026104604,-0.002972086322119649
0.013597045070340033,0.0014774794230721603,0.00080284781116087,-0.00044976150296230485,-0.0030180864197175278
0.013701895486497901,0.0015003553667596544,0.0008152763281763932,-0.0004567266749841851,-0.003064798262494817
0.013807554431987806,0.0015235855261196323,0.0008278972269734537,-0.00046379974313688307,-0.0031122328563362683
0.013914028141593607,0.0015471753866872452,0.000840713484862386,-0.00047098237978153695,-0.0031604013771070515
0.0140213228981772,0.0015711305189783798,0.0008537281252247949,-0.00047827628323461526,-0.003209315173265622
0.014129445033049323,0.0015954565798070612,0.0008669442182029187,-0.0004856831781617084,-0.003258985768528161
0.014238400926343124,0.001620159313606606,0.0008803648814391,-0.0004932048159964032,-0.0033094248645595317
0.014348197007390623,0.0016452445538104317,0.000893993280801725,-0.0005008429753533827,-0.003360644343722598
0.014458839755102159,0.0016707182242153944,0.0009078326311342665,-0.0005085994624521456,-0.0034126562718579355
0.014570335698348626,0.0016965863403874248,0.0009218861970100771,-0.0005164761115417006,-0.003465472901108437
0.014682691416346809,0.0017228550110882492,0.000936157293502573,-0.0005244747853474541,-0.0035191066727917114
0.014795913539047542,0.0017495304397116174,0.0009506492869630925,-0.0005325973755036443,-0.0035735702203019684
0.014910008747526996,0.0017766189257598932,0.0009653655958218554,-0.0005408458030012181,-0.0036288763720828793
0.015024983774380864,0.0018041268663262864,0.0009803096913753844,-0.0005492220186646518,-0.0036850381546222506
0.015140845404121682,0.0018320607576077967,0.0009954850986220924,-0.0005577280035921397,-0.0037420687954974443
