t,step,ramp,pulse
-0.5,0.0,0.0,0.0
-0.4958263772954925,0.0,0.0,0.0
-0.49165275459098495,0.0,0.0,0.0
-0.48747913188647746,0.0,0.0,0.0
-0.48330550918196996,0.0,0.0,0.0
-0.4791318864774624,0.0,0.0,0.0
-0.4749582637729549,0.0,0.0,0.0
-0.4707846410684474,0.0,0.0,0.0
-0.4666110183639399,0.0,0.0,0.0
-0.46243739565943237,0.0,0.0,0.0
-0.4582637729549249,0.0,0.0,0.0
-0.4540901502504174,0.0,0.0,0.0
-0.44991652754590983,0.0,0.0,0.0
-0.44574290484140233,0.0,0.0,0.0
-0.44156928213689484,0.0,0.0,0.0
-0.43739565943238734,0.0,0.0,0.0
-0.4332220367278798,0.0,0.0,0.0
-0.4290484140233723,0.0,0.0,0.0
-0.4248747913188648,0.0,0.0,0.0
-0.42070116861435725,0.0,0.0,0.0
-0.41652754590984975,0.0,0.0,0.0
-0.41235392320534225,0.0,0.0,0.0
-0.40818030050083476,0.0,0.0,0.0
-0.4040066777963272,0.0,0.0,0.0
-0.3998330550918197,0.0,0.0,0.0
-0.39565943238731216,0.0,0.0,0.0
-0.39148580968280466,0.0,0.0,0.0
-0.38731218697829717,0.0,0.0,0.0
-0.3831385642737897,0.0,0.0,0.0
-0.3789649415692822,0.0,0.0,0.0
-0.3747913188647746,0.0,0.0,0.0
-0.37061769616026713,0.0,0.0,0.0
-0.3664440734557596,0.0,0.0,0.0
-0.3622704507512521,0.0,0.0,0.0
-0.3580968280467446,0.0,0.0,0.0
-0.3539232053422371,0.0,0.0,0.0
-0.3497495826377296,0.0,0.0,0.0
-0.34557595993322204,0.0,0.0,0.0
-0.3414023372287145,0.0,0.0,0.0
-0.337228714524207,0.0,0.0,0.0
-0.3330550918196995,0.0,0.0,0.0
-0.328881469115192,0.0,0.0,0.0
-0.3247078464106845,0.0,0.0,0.0
-0.32053422370617696,0.0,0.0,0.0
-0.31636060100166946,0.0,0.0,0.0
-0.3121869782971619,0.0,0.0,0.0
-0.3080133555926544,0.0,0.0,0.0
-0.3038397328881469,0.0,0.0,0.0
-0.2996661101836394,0.0,0.0,0.0
-0.2954924874791319,0.0,0.0,0.0
-0.2913188647746244,0.0,0.0,0.0
-0.2871452420701169,0.0,0.0,0.0
-0.28297161936560933,0.0,0.0,0.0
-0.27879799666110183,0.0,0.0,0.0
-0.27462437395659434,0.0,0.0,0.0
-0.27045075125208684,0.0,0.0,0.0
-0.26627712854757934,0.0,0.0,0.0
-0.2621035058430718,0.0,0.0,0.0
-0.2579298831385643,0.0,0.0,0.0
-0.25375626043405675,0.0,0.0,0.0
-0.24958263772954925,0.0,0.0,0.0
-0.24540901502504175,0.0,0.0,0.0
-0.24123539232053426,0.0,0.0,0.0
-0.2370617696160267,0.0,0.0,0.0
-0.2328881469115192,0.0,0.0,0.0
-0.22871452420701172,0.0,0.0,0.0
-0.22454090150250416,0.0,0.0,0.0
-0.22036727879799667,0.0,0.0,0.0
-0.21619365609348917,0.0,0.0,0.0
-0.21202003338898168,0.0,0.0,0.0
-0.20784641068447413,0.0,0.0,0.0
-0.20367278797996663,0.0,0.0,0.0
-0.19949916527545913,0.0,0.0,0.0
-0.19532554257095158,0.0,0.0,0.0
-0.1911519198664441,0.0,0.0,0.0
-0.1869782971619366,0.0,0.0,0.0
-0.18280467445742904,0.0,0.0,0.0
-0.17863105175292154,0.0,0.0,0.0
-0.17445742904841405,0.0,0.0,0.0
-0.17028380634390655,0.0,0.0,0.0
-0.166110183639399,0.0,0.0,0.0
-0.1619365609348915,0.0,0.0,0.0
-0.157762938230384,0.0,0.0,0.0
-0.15358931552587646,0.0,0.0,0.0
-0.14941569282136896,0.0,0.0,0.0
-0.14524207011686147,0.0,0.0,0.0
