w,re,im
0.0081567884,1,0.0081567884
0.0083471053,1,0.0083471053
0.0085418627,1,0.0085418627
0.0087411643,1,0.0087411643
0.008945116,1,0.008945116
0.0091538264,1,0.0091538264
0.0093674065,1,0.0093674065
0.0095859699,1,0.0095859699
0.0098096329,1,0.0098096329
0.010038514,1,0.010038514
0.010272736,1,0.010272736
0.010512423,1,0.010512423
0.010757703,1,0.010757703
0.011008705,1,0.011008705
0.011265564,1,0.011265564
0.011528415,1,0.011528415
0.0117974,1,0.0117974
0.012072661,1,0.012072661
0.012354344,1,0.012354344
0.0126426,1,0.0126426
0.012937581,1,0.012937581
0.013239445,1,0.013239445
0.013548352,1,0.013548352
0.013864467,1,0.013864467
0.014187957,1,0.014187957
0.014518995,1,0.014518995
0.014857757,1,0.014857757
0.015204423,1,0.015204423
0.015559178,1,0.015559178
0.01592221,1,0.01592221
0.016293712,1,0.016293712
0.016673882,1,0.016673882
0.017062923,1,0.017062923
0.01746104,1,0.01746104
0.017868447,1,0.017868447
0.01828536,1,0.01828536
0.018712,1,0.018712
0.019148594,1,0.019148594
0.019595375,1,0.019595375
0.020052581,1,0.020052581
0.020520455,1,0.020520455
0.020999245,1,0.020999245
0.021489206,1,0.021489206
0.021990599,1,0.021990599
0.022503691,1,0.022503691
0.023028755,1,0.023028755
0.023566069,1,0.023566069
0.02411592,1,0.02411592
0.024678601,1,0.024678601
0.02525441,1,0.02525441
0.025843654,1,0.025843654
0.026446647,1,0.026446647
0.027063709,1,0.027063709
0.027695168,1,0.027695168
0.028341361,1,0.028341361
0.029002631,1,0.029002631
0.02967933,1,0.02967933
0.030371818,1,0.030371818
0.031080463,1,0.031080463
0.031805643,1,0.031805643
0.032547742,1,0.032547742
0.033307157,1,0.033307157
0.03408429,1,0.03408429
0.034879556,1,0.034879556
0.035693378,1,0.035693378
0.036526187,1,0.036526187
0.037378428,1,0.037378428
0.038250554,1,0.038250554
0.039143029,1,0.039143029
0.040056327,1,0.040056327
0.040990934,1,0.040990934
0.041947348,1,0.041947348
0.042926077,1,0.042926077
0.043927643,1,0.043927643
0.044952577,1,0.044952577
0.046001425,1,0.046001425
