w,re,im
0.001,0.999999,-0.000999999
0.0010233323,0.99999895,-0.0010233313
0.0010472091,0.9999989,-0.0010472079
0.0010716429,0.99999885,-0.0010716417
0.0010966468,0.9999988,-0.0010966455
0.0011222341,0.99999874,-0.0011222327
0.0011484185,0.99999868,-0.001148417
0.0011752137,0.99999862,-0.0011752121
0.0012026342,0.99999855,-0.0012026325
0.0012306945,0.99999849,-0.0012306926
0.0012594094,0.99999841,-0.0012594074
0.0012887944,0.99999834,-0.0012887923
0.001318865,0.99999826,-0.0013188627
0.0013496372,0.99999818,-0.0013496347
0.0013811273,0.99999809,-0.0013811247
0.0014133523,0.999998,-0.0014133494
0.0014463291,0.99999791,-0.001446326
0.0014800753,0.99999781,-0.001480072
0.0015146089,0.99999771,-0.0015146054
0.0015499482,0.9999976,-0.0015499445
0.0015861121,0.99999748,-0.0015861082
0.0016231198,0.99999737,-0.0016231156
0.001660991,0.99999724,-0.0016609864
0.0016997458,0.99999711,-0.0016997409
0.0017394048,0.99999697,-0.0017393996
0.0017799892,0.99999683,-0.0017799835
0.0018215205,0.99999668,-0.0018215144
0.0018640208,0.99999653,-0.0018640143
0.0019075127,0.99999636,-0.0019075058
0.0019520194,0.99999619,-0.001952012
0.0019975646,0.99999601,-0.0019975566
0.0020441724,0.99999582,-0.0020441639
0.0020918677,0.99999562,-0.0020918586
0.0021406759,0.99999542,-0.0021406661
0.0021906228,0.9999952,-0.0021906123
0.0022417352,0.99999497,-0.0022417239
0.0022940401,0.99999474,-0.002294028
0.0023475654,0.99999449,-0.0023475524
0.0024023395,0.99999423,-0.0024023257
0.0024583917,0.99999396,-0.0024583769
0.0025157517,0.99999367,-0.0025157358
0.0025744501,0.99999337,-0.002574433
0.002634518,0.99999306,-0.0026344997
0.0026959874,0.99999273,-0.0026959678
0.0027588911,0.99999239,-0.0027588701
0.0028232625,0.99999203,-0.0028232399
0.0028891357,0.99999165,-0.0028891116
0.002956546,0.99999126,-0.0029565202
0.0030255291,0.99999085,-0.0030255014
0.0030961217,0.99999041,-0.0030960921
0.0031683615,0.99998996,-0.0031683297
0.0032422867,0.99998949,-0.0032422526
0.0033179368,0.99998899,-0.0033179003
0.003395352,0.99998847,-0.0033953129
0.0034745735,0.99998793,-0.0034745315
0.0035556434,0.99998736,-0.0035555984
0.0036386048,0.99998676,-0.0036385567
0.003723502,0.99998614,-0.0037234503
0.0038103799,0.99998548,-0.0038103246
0.003899285,0.9999848,-0.0038992257
0.0039902644,0.99998408,-0.0039902008
0.0040833665,0.99998333,-0.0040832984
0.004178641,0.99998254,-0.004178568
0.0042761384,0.99998171,-0.0042760602
0.0043759107,0.99998085,-0.0043758269
0.0044780109,0.99997995,-0.0044779211
