w,re,im
0.001,0.999994,-0.00299999
0.0010233323,0.99999372,-0.0030699863
0.0010472091,0.99999342,-0.0031416157
0.0010716429,0.99999311,-0.0032149163
0.0010966468,0.99999278,-0.0032899272
0.0011222341,0.99999244,-0.0033666883
0.0011484185,0.99999209,-0.0034452403
0.0011752137,0.99999171,-0.003525625
0.0012026342,0.99999132,-0.0036078853
0.0012306945,0.99999091,-0.0036920648
0.0012594094,0.99999048,-0.0037782084
0.0012887944,0.99999003,-0.0038663618
0.001318865,0.99998956,-0.003956572
0.0013496372,0.99998907,-0.0040488869
0.0013811273,0.99998855,-0.0041433557
0.0014133523,0.99998801,-0.0042400285
0.0014463291,0.99998745,-0.0043389569
0.0014800753,0.99998686,-0.0044401934
0.0015146089,0.99998624,-0.0045437919
0.0015499482,0.99998559,-0.0046498075
0.0015861121,0.99998491,-0.0047582965
0.0016231198,0.99998419,-0.0048693167
0.001660991,0.99998345,-0.0049829272
0.0016997458,0.99998267,-0.0050991883
0.0017394048,0.99998185,-0.0052181618
0.0017799892,0.99998099,-0.0053399111
0.0018215205,0.99998009,-0.005464501
0.0018640208,0.99997915,-0.0055919976
0.0019075127,0.99997817,-0.0057224688
0.0019520194,0.99997714,-0.005855984
0.0019975646,0.99997606,-0.0059926141
0.0020441724,0.99997493,-0.0061324319
0.0020918677,0.99997374,-0.0062755117
0.0021406759,0.99997251,-0.0064219296
0.0021906228,0.99997121,-0.0065717634
0.0022417352,0.99996985,-0.0067250929
0.0022940401,0.99996842,-0.0068819995
0.0023475654,0.99996693,-0.0070425668
0.0024023395,0.99996537,-0.00720688
0.0024583917,0.99996374,-0.0073750266
0.0025157517,0.99996203,-0.007547096
0.0025744501,0.99996023,-0.0077231796
0.002634518,0.99995836,-0.0079033711
0.0026959874,0.99995639,-0.0080877663
0.0027588911,0.99995433,-0.0082764633
0.0028232625,0.99995218,-0.0084695623
0.0028891357,0.99994992,-0.0086671661
0.002956546,0.99994755,-0.0088693796
0.0030255291,0.99994508,-0.0090763104
0.0030961217,0.99994249,-0.0092880685
0.0031683615,0.99993977,-0.0095047664
0.0032422867,0.99993693,-0.0097265194
0.0033179368,0.99993395,-0.0099534452
0.003395352,0.99993083,-0.010185665
0.0034745735,0.99992757,-0.010423301
0.0035556434,0.99992415,-0.010666481
0.0036386048,0.99992057,-0.010915333
0.003723502,0.99991682,-0.01116999
0.0038103799,0.99991289,-0.011430587
0.003899285,0.99990878,-0.011697262
0.0039902644,0.99990447,-0.011970158
0.0040833665,0.99989996,-0.012249419
0.004178641,0.99989524,-0.012535193
0.0042761384,0.99989029,-0.012827633
0.0043759107,0.99988511,-0.013126894
0.0044780109,0.99987969,-0.013433135
0.0045824933,0.99987401,-0.013746518
0.0046894135,0.99986806,-0.014067209
0.0047988285,0.99986184,-0.01439538
0.0049107963,0.99985531,-0.014731205
0.0050253766,0.99984848,-0.015074861
0.0051426304,0.99984133,-0.015426531
0.0052626199,0.99983384,-0.015786402
