KPR,KIR_max
-1.0,0.0
-0.9849624060150376,0.015037593984962405
-0.9699248120300752,0.03007518796992481
-0.9548872180451128,0.045112781954887216
-0.9398496240601504,0.06015037593984962
-0.924812030075188,0.07518796992481203
-0.9097744360902256,0.09022556390977443
-0.8947368421052632,0.10526315789473684
-0.8796992481203008,0.12030075187969924
-0.8646616541353384,0.13533834586466165
-0.849624060150376,0.15037593984962405
-0.8345864661654135,0.16541353383458646
-0.8195488721804511,0.18045112781954886
-0.8045112781954887,0.19548872180451127
-0.7894736842105263,0.21052631578947367
-0.7744360902255639,0.22556390977443608
-0.7593984962406015,0.24060150375939848
-0.7443609022556391,0.2556390977443609
-0.7293233082706767,0.2706766917293233
-0.7142857142857143,0.2857142857142857
-0.6992481203007519,0.3007518796992481
-0.6842105263157895,0.3157894736842105
-0.6691729323308271,0.3308270676691729
-0.6541353383458647,0.3458646616541353
-0.6390977443609023,0.3609022556390977
-0.6240601503759399,0.37593984962406013
-0.6090225563909775,0.39097744360902253
-0.5939849624060151,0.40601503759398494
-0.5789473684210527,0.42105263157894735
-0.5639097744360902,0.43609022556390975
-0.5488721804511278,0.45112781954887216
-0.5338345864661654,0.46616541353383456
-0.518796992481203,0.48120300751879697
-0.5037593984962406,0.49624060150375937
-0.4887218045112782,0.5112781954887218
-0.4736842105263158,0.5263157894736842
-0.4586466165413534,0.5413533834586466
-0.443609022556391,0.556390977443609
-0.4285714285714286,0.5714285714285714
-0.4135338345864662,0.5864661654135338
-0.3984962406015038,0.6015037593984962
-0.3834586466165414,0.6165413533834586
-0.368421052631579,0.631578947368421
-0.3533834586466166,0.6466165413533834
-0.33834586466165417,0.6616541353383458
-0.32330827067669177,0.6766917293233082
-0.30827067669172936,0.6917293233082706
-0.29323308270676696,0.706766917293233
-0.27819548872180455,0.7218045112781954
-0.26315789473684215,0.7368421052631579
-0.24812030075187974,0.7518796992481203
-0.23308270676691734,0.7669172932330827
-0.21804511278195493,0.7819548872180451
-0.20300751879699253,0.7969924812030075
-0.18796992481203012,0.8120300751879699
-0.17293233082706772,0.8270676691729323
-0.1578947368421053,0.8421052631578947
-0.1428571428571429,0.8571428571428571
-0.1278195488721805,0.8721804511278195
-0.1127819548872181,0.8872180451127819
-0.09774436090225569,0.9022556390977443
-0.08270676691729328,0.9172932330827067
-0.06766917293233088,0.9323308270676691
-0.052631578947368474,0.9473684210526315
-0.03759398496240607,0.9624060150375939
-0.022556390977443663,0.9774436090225563
-0.007518796992481258,0.9924812030075187
0.007518796992481036,1.007518796992481
0.022556390977443552,1.0225563909774436
0.03759398496240607,1.037593984962406
0.05263157894736836,1.0526315789473684
0.06766917293233066,1.0676691729323307
0.08270676691729317,1.0827067669172932
0.09774436090225569,1.0977443609022557
0.11278195488721798,1.112781954887218
0.12781954887218028,1.1278195488721803
0.1428571428571428,1.1428571428571428
0.1578947368421053,1.1578947368421053
0.1729323308270676,1.1729323308270676
0.1879699248120299,1.18796992481203
0.20300751879699241,1.2030075187969924
0.21804511278195493,1.218045112781955
0.23308270676691722,1.2330827067669172
0.24812030075187952,1.2481203007518795
0.26315789473684204,1.263157894736842
0.27819548872180455,1.2781954887218046
0.29323308270676685,1.2932330827067668
0.30827067669172914,1.3082706766917291
0.32330827067669166,1.3233082706766917
0.33834586466165417,1.3383458646616542
0.35338345864661647,1.3533834586466165
0.36842105263157876,1.3684210526315788
0.3834586466165413,1.3834586466165413
0.3984962406015038,1.3984962406015038
0.4135338345864661,1.413533834586466
0.4285714285714284,1.4285714285714284
0.4436090225563909,1.443609022556391
0.4586466165413534,1.4586466165413534
0.4736842105263157,1.4736842105263157
0.488721804511278,1.488721804511278
0.5037593984962405,1.5037593984962405
0.518796992481203,1.518796992481203
0.5338345864661653,1.5338345864661653
0.5488721804511276,1.5488721804511276
0.5639097744360901,1.5639097744360901
0.5789473684210527,1.5789473684210527
0.593984962406015,1.593984962406015
0.6090225563909772,1.6090225563909772
0.6240601503759398,1.6240601503759398
0.6390977443609023,1.6390977443609023
0.6541353383458646,1.6541353383458646
0.6691729323308269,1.6691729323308269
0.6842105263157894,1.6842105263157894
0.6992481203007519,1.699248120300752
0.7142857142857142,1.7142857142857142
0.7293233082706765,1.7293233082706765
0.744360902255639,1.744360902255639
0.7593984962406015,1.7593984962406015
0.7744360902255638,1.7744360902255638
0.7894736842105261,1.789473684210526
0.8045112781954886,1.8045112781954886
0.8195488721804511,1.8195488721804511
0.8345864661654134,1.8345864661654134
0.8496240601503757,1.8496240601503757
0.8646616541353382,1.8646616541353382
0.8796992481203008,1.8796992481203008
0.894736842105263,1.894736842105263
0.9097744360902253,1.9097744360902253
0.9248120300751879,1.9248120300751879
0.9398496240601504,1.9398496240601504
0.9548872180451127,1.9548872180451127
0.969924812030075,1.969924812030075
0.9849624060150375,1.9849624060150375
1.0,2.0
1.015037593984962,2.015037593984962
1.0300751879699246,2.0300751879699246
1.045112781954887,2.045112781954887
1.0601503759398496,2.0601503759398496
1.0751879699248121,2.075187969924812
1.0902255639097742,2.090225563909774
1.1052631578947367,2.1052631578947367
1.1203007518796992,2.1203007518796992
1.1353383458646613,2.1353383458646613
1.1503759398496238,2.150375939849624
1.1654135338345863,2.1654135338345863
1.1804511278195489,2.180451127819549
1.1954887218045114,2.1954887218045114
1.2105263157894735,2.2105263157894735
1.225563909774436,2.225563909774436
1.2406015037593985,2.2406015037593985
1.2556390977443606,2.2556390977443606
1.270676691729323,2.270676691729323
1.2857142857142856,2.2857142857142856
1.300751879699248,2.300751879699248
