w,re,im
0.001,0.99999,-0.00399998
0.0010233323,0.99998953,-0.0040933079
0.0010472091,0.99998903,-0.0041888133
0.0010716429,0.99998852,-0.0042865469
0.0010966468,0.99998797,-0.0043865608
0.0011222341,0.99998741,-0.0044889083
0.0011484185,0.99998681,-0.0045936436
0.0011752137,0.99998619,-0.0047008225
0.0012026342,0.99998554,-0.0048105021
0.0012306945,0.99998485,-0.0049227406
0.0012594094,0.99998414,-0.0050375978
0.0012887944,0.99998339,-0.0051551348
0.001318865,0.99998261,-0.005275414
0.0013496372,0.99998178,-0.0053984995
0.0013811273,0.99998093,-0.0055244567
0.0014133523,0.99998002,-0.0056533526
0.0014463291,0.99997908,-0.0057852557
0.0014800753,0.99997809,-0.0059202363
0.0015146089,0.99997706,-0.0060583661
0.0015499482,0.99997598,-0.0061997185
0.0015861121,0.99997484,-0.0063443688
0.0016231198,0.99997366,-0.0064923938
0.001660991,0.99997241,-0.0066438723
0.0016997458,0.99997111,-0.0067988849
0.0017394048,0.99996975,-0.006957514
0.0017799892,0.99996832,-0.0071198439
0.0018215205,0.99996682,-0.007285961
0.0018640208,0.99996525,-0.0074559536
0.0019075127,0.99996361,-0.0076299121
0.0019520194,0.9999619,-0.007807929
0.0019975646,0.9999601,-0.007990099
0.0020441724,0.99995821,-0.0081765189
0.0020918677,0.99995624,-0.0083672879
0.0021406759,0.99995418,-0.0085625074
0.0021906228,0.99995201,-0.0087622811
0.0022417352,0.99994975,-0.0089667154
0.0022940401,0.99994737,-0.0091759189
0.0023475654,0.99994489,-0.0093900028
0.0024023395,0.99994229,-0.0096090809
0.0024583917,0.99993956,-0.0098332697
0.0025157517,0.99993671,-0.010062688
0.0025744501,0.99993372,-0.010297459
0.002634518,0.99993059,-0.010537706
0.0026959874,0.99992732,-0.010783558
0.0027588911,0.99992389,-0.011035144
0.0028232625,0.99992029,-0.0112926
0.0028891357,0.99991653,-0.011556061
0.002956546,0.99991259,-0.011825667
0.0030255291,0.99990846,-0.012101563
0.0030961217,0.99990414,-0.012383893
0.0031683615,0.99989962,-0.01267281
0.0032422867,0.99989488,-0.012968465
0.0033179368,0.99988992,-0.013271017
0.003395352,0.99988472,-0.013580625
0.0034745735,0.99987928,-0.013897455
0.0035556434,0.99987358,-0.014221675
0.0036386048,0.99986761,-0.014553456
0.003723502,0.99986136,-0.014892975
0.0038103799,0.99985482,-0.015240413
0.003899285,0.99984796,-0.015595954
0.0039902644,0.99984079,-0.015959787
0.0040833665,0.99983327,-0.016332104
0.004178641,0.9998254,-0.016713105
0.0042761384,0.99981716,-0.01710299
0.0043759107,0.99980853,-0.017501967
0.0044780109,0.99979949,-0.017910248
0.0045824933,0.99979002,-0.018328049
0.0046894135,0.99978011,-0.018755592
0.0047988285,0.99976973,-0.019193104
0.0049107963,0.99975886,-0.019640817
0.0050253766,0.99974748,-0.020098968
0.0051426304,0.99973556,-0.020567802
0.0052626199,0.99972308,-0.021047565
