Re,Im,w
31.499958971291427,-0.039374958636603945,0.001
31.49995851512717,-0.03959324213559849,0.0010055437254790278
31.499958053891206,-0.03981273573065454,0.0010111181838502424
31.49995758752714,-0.0400334461300831,0.0010167235454883613
31.49995711597797,-0.040255380079382105,0.0010223599817126125
31.499956639186035,-0.040478544361442374,0.00102802766479197
31.499956157093052,-0.040702945796755166,0.0010337267679504227
31.499955669640087,-0.04092859124362026,0.0010394574653722626
31.49995517676754,-0.04115548759835565,0.0010452199322074124
31.499954678415158,-0.04138364179550832,0.0010510143445767782
31.499954174522006,-0.04161306080806606,0.0010568408795776324
31.499953665026503,-0.041843751647670575,0.001062699715289025
31.499953149866343,-0.04207572136483175,0.0010685910307772285
31.49995262897855,-0.04230897704914293,0.0010745150061012077
31.499952102299453,-0.042543525829497865,0.0010804718223181285
31.49995156976464,-0.04277937487430817,0.001086461661488885
31.499951031309028,-0.043016531391722596,0.0010924847066836679
31.49995048686678,-0.043255002629847196,0.0010985411419875584
31.499949936371344,-0.043494795876966814,0.001104631152506155
31.49994937975541,-0.04373591846176775,0.0011107549243712313
31.49994881695093,-0.04397837775356172,0.0011169126447464236
31.499948247889105,-0.04422218116251096,0.0011231045018329515
31.49994767250037,-0.04446733613985488,0.0011293306848753736
31.499947090714365,-0.04471385017813735,0.001135591384167365
31.499946502459974,-0.04496173081143591,0.0011418867910575382
31.499945907665275,-0.04521098561559187,0.001148217097955289
31.49994530625757,-0.04546162220844189,0.0011545824983366791
31.49994469816331,-0.04571364825005052,0.0011609831867503478
31.49994408330817,-0.04596707144294451,0.0011674193588234586
31.49994346161697,-0.046221899532347906,0.0011738912112676774
31.499942833013723,-0.04647814030641903,0.0011803989418851888
31.499942197421557,-0.04673580159648798,0.001186942749574735
31.49994155476279,-0.04699489127729635,0.0011935228343376999
31.499940904958844,-0.04725541726723752,0.0012001393972842192
31.499940247930272,-0.047517387528598756,0.0012067926406393288
31.499939583596763,-0.04778081006780447,0.0012134827677491443
31.4999389118771,-0.04804569293566077,0.0012202099830870765
31.49993823268915,-0.04831204422760146,0.001226974492260079
31.499937545949884,-0.0485798720839355,0.0012337765020149383
31.499936851575356,-0.04884918469009561,0.0012406162202445844
31.499936149480664,-0.04911999027688827,0.0012474938559944495
31.49993543957998,-0.049392297120745374,0.0012544096194688566
31.499934721786516,-0.04966611354397703,0.0012613637220374437
31.499933996012516,-0.04994144791502574,0.0012683563762416238
31.49993326216925,-0.05021830864872226,0.001275387795801082
31.499932520167008,-0.05049670420654247,0.0012824581956203042
31.49993176991508,-0.05077664309686617,0.0012895677917951524
31.49993101132174,-0.05105813387523674,0.0012967168016194608
31.499930244294248,-0.0513411851446227,0.001303905443591682
31.49992946873883,-0.05162580555568047,0.0013111339374215643
31.499928684560683,-0.051912003807018756,0.0013184025040368663
31.499927891663923,-0.05219978864546417,0.0013257113655901094
31.49992708995162,-0.05248916886632862,0.001333060745465368
31.49992627932577,-0.05278015331367781,0.0013404508682850948
31.49992545968726,-0.05307275088060175,0.0013478819599169918
31.499924630935904,-0.05336697050948614,0.0013553542474809056
31.499923792970364,-0.05366282119228565,0.0013628679593557739
31.499922945688205,-0.05396031197079874,0.0013704233251866052
31.49992208898584,-0.05425945193694378,0.0013780205758914961
31.499921222758545,-0.05456025023303692,0.0013856599436686905
31.499920346900407,-0.05486271605207123,0.001393341662003675
31.499919461304355,-0.055166858637997675,0.001401065965676314
31.499918565862117,-0.05547268728600759,0.0014088330907680326
31.499917660464245,-0.055780211342816445,0.0014166432746690208
31.49991674500002,-0.056089440206949455,0.0014244967560854969
31.499915819357543,-0.0564003833290288,0.0014323937750470004
31.499914883423642,-0.056713050212062244,0.0014403345729137292
31.499913937083907,-0.05702745041173346,0.0014483193923839157
31.49991298022263,-0.05734359353669395,0.0014563484775012444
31.499912012722838,-0.05766148924885656,0.00146442207366231
31.49991103446626,-0.05798114726369084,0.0014725404276241224
31.499910045333284,-0.05830257735051939,0.0014807037875116406
31.499909045203008,-0.05862578933281681,0.0014889124028253618
31.499908033953137,-0.05895079308850939,0.0014971665244489453
31.499907011460063,-0.05927759855027714,0.0015054664046568805
31.49990597759877,-0.05960621570585699,0.001513812297122197
31.499904932242874,-0.05993665459834809,0.001522204456924219
31.499903875264575,-0.060268925326518445,0.0015306431405563577
31.49990280653465,-0.06060303804511365,0.0015391286059339593
31.49990172592244,-0.060939002965166675,0.0015476611124021758
31.49990063329586,-0.061276830354310224,0.0015562409207439004
31.4998995285213,-0.06161653053709,0.001564868293187734
31.49989841146372,-0.06195811389528046,0.0015735434934160016
31.499897281986552,-0.062301590868201605,0.0015822667865728103
31.499896139951712,-0.06264697195303805,0.0015910384392721533
31.499894985219594,-0.06299426770515963,0.0015998587196060573
31.499893817649006,-0.06334348873844392,0.001608727897152782
31.499892637097222,-0.06369464572560021,0.0016176462429850508
31.499891443419923,-0.06404774939849574,0.0016266140296783407
31.49989023647117,-0.06440281054848336,0.0016356315313192126
31.499889016103403,-0.06475984002673121,0.001644699023513688
31.49988778216745,-0.06511884874455427,0.001653816783395673
31.49988653451244,-0.06547984767374744,0.0016629850896354274
31.499885272985846,-0.06584284784692075,0.0016722042224480808
31.499883997433457,-0.06620786035783655,0.0016814744636022042
31.499882707699317,-0.06657489636174803,0.0016907960964284102
31.49988140362576,-0.06694396707574009,0.0017001694058280212
31.49988008505336,-0.06731508377907203,0.0017095946782817735
31.499878751820912,-0.06768825781352192,0.0017190722018585747
31.49987740376544,-0.06806350058373309,0.0017286022662243064
