w,mag_db,phase_deg
0.01,-0.0004342727686253966,-0.5729386976834859
0.010154950161807173,-0.0004478344634914684,-0.5818157864549278
0.010312301278878753,-0.0004618196474672708,-0.5908303972721994
0.01047209055405541,-0.000476241543360776,-0.5999846596921915
0.010634355766636435,-0.0004911137867499175,-0.6092807362056226
0.010799135281311977,-0.0005064504388617181,-0.6187208227443453
0.01096646805723366,-0.0005222659998561775,-0.6283071491963671
0.011136393657225817,-0.0005385754225226791,-0.6380419799287095
0.01130895225713937,-0.0005553941263995712,-0.6479276143182063
0.011484184655350702,-0.0005727380123333658,-0.6579663872903688
0.011662132282407707,-0.0005906234774997908,-0.6681606698664285
0.01184283721082528,-0.0006090674308857851,-0.6785128697186774
0.012026342165032618,-0.0006280873092604672,-0.6890254317342269
0.012212690531474647,-0.0006477010936283874,-0.6997008385873066
0.012401926368869939,-0.0006679273262181727,-0.7105416113202242
0.012594094418627645,-0.0006887851279815666,-0.7215503099331164
0.012789240115425761,-0.0007102942166472962,-0.7327295339826094
0.012987409597953362,-0.0007324749253317837,-0.7440819231895218
0.013188649719819251,-0.0007553482217424654,-0.7556101580557384
0.013393008060629664,-0.0007789357279564565,-0.767316960490383
0.013600532937237597,-0.0008032597408305914,-0.7792050944454234
0.013811273415166473,-0.0008283432530593417,-0.7912773665608441
0.014025279320210795,-0.0008542099748488938,-0.8035366268195181
0.01424260125021654,-0.0008808843563155216,-0.8159857692119137
0.014463290587044151,-0.0009083916105389399,-0.8286277324107822
0.014687399508716817,-0.0009367577373585333,-0.8414655004559534
0.014914981001757043,-0.0009660095479039231,-0.8545021034493882
0.01514608887371436,-0.0009961746898831708,-0.8677406182606294
0.015380777765887147,-0.0010272816736702458,-0.8811841692427913
0.015619103166241592,-0.0010593598991851777,-0.8948359289592347
0.015861121422530797,-0.0010924396836336208,-0.9086991189210732
0.016106889755617235,-0.001126552290090592,-0.9227770103356617
0.016356466273001552,-0.0011617299569845253,-0.9370729248662091
0.016609909982561066,-0.0011980059284934304,-0.9515902354026726
0.01686728080650111,-0.0012354144858832913,-0.9663323668440812
0.01712863959552255,-0.001273990979832342,-0.9813027968924414
0.017394048143208846,-0.0013137718637482444,-0.996505056858383
0.017663569200636043,-0.001354794728120869,-1.011942732478694
0.017937266491209115,-0.0013970983359640318,-1.0276194647459078
0.018215204725728247,-0.0014407226593165967,-1.0435389507500954
0.018497449617688486,-0.0014857089169325183,-1.0597049445330207
0.01878406789881657,-0.0015320996130878464,-1.0761212579548254
0.019075127334848428,-0.0015799385776236999,-1.0927917615733969
0.019370696741551147,-0.0016292710072458687,-1.1097203855365834
0.01967084600099325,-0.001680143508058318,-1.1269111204874185
0.01997564607806705,-0.0017326041394660873,-1.1443680184825205
0.02028516903726698,-0.0017867024594171949,-1.1620951939238238
0.020599488059728017,-0.001842489571049652,-1.1800968245038206
0.020918677460527994,-0.0019000181707923588,-1.1983771521644602
0.021242812706258083,-0.0019593425979551856,-1.2169404840698854
0.0215719704328655,-0.0020205188858483988,-1.2357911935931671
0.021906228463772704,-0.0020836048145092545,-1.2549337213172025
0.022245665828277354,-0.002148659965040314,-1.2743725760499476
0.022590362780237343,-0.0022157457756364213,-1.2941123358541442
0.022940400817045393,-0.002284925599364794,-1.3141576490917153
0.023295862698897662,-0.0023562647637116033,-1.3345132354829927
0.023656832468360853,-0.002429830631988532,-1.3551838871809372
0.024023395470242622,-0.0025056926666359503,-1.3761744698605316
0.0243956383717698,-0.002583922494479662,-1.3974899238234966
0.0247736491830793,-0.0026645939740184894,-1.4191352651185032
0.025157517278026526,-0.002747783264784361,-1.4411155866770429
0.025547333415316238,-0.0028335688988542274,-1.4634360594651223
0.025943189759960742,-0.0029220318545652713,-1.4861019336509322
0.02634517990507075,-0.0030132556325100056,-1.509118539788671
0.026753398893983732,-0.003107326333893749,-1.5324912900186627
0.027167943242735193,-0.003204332741285932,-1.5562256792839333
0.027588910962878185,-0.003304366401888412,-1.5803272865634055
0.02801640158465635,-0.003407521713366936,-1.6048017761218554
0.028450516180536078,-0.0035138960123170413,-1.6296548987767874
0.028891357389103242,-0.0036235896654831182,-1.6548924931823725
0.029339029439330283,-0.003736706163767445,-1.6805204871305945
0.029793638175219246,-0.0038533522191500887,-1.7065448988697436
0.030255291080826724,-0.00397363786459344,-1.732971838440399
0.030724097305676445,-0.004097676557008168,-1.7598075090290235
0.031200167690565835,-0.004225585283405815,-1.7870582083393172
0.03168361479377224,-0.004357484670320943,-1.8147303299814326
0.032174552917665356,-0.004493499096562768,-1.8428303648791873
0.032673098135731944,-0.0046337568094838,-1.8713649026953785
0.033179368320019276,-0.0047783900447717674,-1.9003406332753072
0.03369348316900395,-0.004927535149950837,-1.9297643481086262
0.03421556423589239,-0.005081332711660609,-1.9596429418095849
0.03474573495735992,-0.005239927686837613,-1.9899834136157757
0.03528412068273513,-0.005403469537920408,-2.0207928689054535
0.03583084870363649,-0.005572112372197733,-2.0520785207335024
0.03638604828406817,-0.005746015085418501,-2.083847691386108
0.03694985069098217,-0.00592534150979237,-2.1161078139541947
0.03752238922531402,-0.006110260566535061,-2.1488664339256602
0.03810379925349944,-0.006300946423038618,-2.1821312107964514
0.03869421823947922,-0.006497578654875545,-2.215909919700489
0.03929378577720017,-0.006700342412727448,-2.2502104530584623
0.039902643623619526,-0.006909428594407382,-2.285040822245473
0.0405209357322209,-0.007125034022116617,-2.3204091592775296
0.041148808287049476,-0.007347361625109815,-2.3563237185168395
0.041786409737274564,-0.007576620627900665,-2.392792878395862
