w,re,im
0.16356466,1,-6.11379
0.16738101,1,-5.9743935
0.1712864,1,-5.8381753
0.17528291,1,-5.7050629
0.17937266,1,-5.5749855
0.18355785,1,-5.4478739
0.18784068,1,-5.3236605
0.19222344,1,-5.2022792
0.19670846,1,-5.0836654
0.20129813,1,-4.9677561
0.20599488,1,-4.8544896
0.21080122,1,-4.7438055
0.2157197,1,-4.6356451
0.22075295,1,-4.5299508
0.22590363,1,-4.4266664
0.23117449,1,-4.3257369
0.23656832,1,-4.2271086
0.24208801,1,-4.1307291
0.24773649,1,-4.036547
0.25351676,1,-3.9445124
0.2594319,1,-3.8545761
0.26548505,1,-3.7666905
0.27167943,1,-3.6808086
0.27801835,1,-3.5968849
0.28450516,1,-3.5148747
0.29114333,1,-3.4347344
0.29793638,1,-3.3564212
0.30488793,1,-3.2798937
0.31200168,1,-3.205111
0.3192814,1,-3.1320333
0.32673098,1,-3.0606219
0.33435438,1,-2.9908387
0.34215564,1,-2.9226465
0.35013893,1,-2.8560092
0.35830849,1,-2.7908912
0.36666866,1,-2.7272579
0.37522389,1,-2.6650755
0.38397874,1,-2.6043109
0.39293786,1,-2.5449317
0.40210601,1,-2.4869064
0.41148808,1,-2.430204
0.42108906,1,-2.3747945
0.43091405,1,-2.3206484
0.44096827,1,-2.2677368
0.45125709,1,-2.2160317
0.46178597,1,-2.1655054
0.47256051,1,-2.1161311
0.48358645,1,-2.0678826
0.49486965,1,-2.0207342
0.50641611,1,-1.9746607
0.51823198,1,-1.9296378
0.53032354,1,-1.8856414
0.54269722,1,-1.8426481
0.55535961,1,-1.8006351
0.56831744,1,-1.75958
0.58157761,1,-1.719461
0.59514717,1,-1.6802567
0.60903334,1,-1.6419462
0.62324351,1,-1.6045093
0.63778523,1,-1.5679259
0.65266624,1,-1.5321767
0.66789447,1,-1.4972425
0.683478,1,-1.4631049
0.69942514,1,-1.4297456
0.71574435,1,-1.3971469
0.73244434,1,-1.3652915
0.74953397,1,-1.3341624
0.76702234,1,-1.303743
0.78491876,1,-1.2740172
0.80323274,1,-1.2449692
0.82197403,1,-1.2165834
0.8411526,1,-1.1888449
0.86077865,1,-1.1617389
0.88086262,1,-1.1352508
0.9014152,1,-1.1093667
0.92244731,1,-1.0840728
0.94397016,1,-1.0593555
0.96599518,1,-1.0352019
0.98853409,1,-1.0115989
1.0115989,1,-0.98853409
1.0352019,1,-0.96599518
1.0593555,1,-0.94397016
1.0840728,1,-0.92244731
1.1093667,1,-0.9014152
1.1352508,1,-0.88086262
1.1617389,1,-0.86077865
1.1888449,1,-0.8411526
1.2165834,1,-0.82197403
1.2449692,1,-0.80323274
1.2740172,1,-0.78491876
1.303743,1,-0.76702234
1.3341624,1,-0.74953397
1.3652915,1,-0.73244434
1.3971469,1,-0.71574435
1.4297456,1,-0.69942514
1.4631049,1,-0.683478
1.4972425,1,-0.66789447
1.5321767,1,-0.65266624
1.5679259,1,-0.63778523
1.6045093,1,-0.62324351
1.6419462,1,-0.60903334
1.6802567,1,-0.59514717
1.719461,1,-0.58157761
1.75958,1,-0.56831744
1.8006351,1,-0.55535961
1.8426481,1,-0.54269722
1.8856414,1,-0.53032354
1.9296378,1,-0.51823198
1.9746607,1,-0.50641611
2.0207342,1,-0.49486965
2.0678826,1,-0.48358645
2.1161311,1,-0.47256051
2.1655054,1,-0.46178597
2.2160317,1,-0.45125709
2.2677368,1,-0.44096827
2.3206484,1,-0.43091405
2.3747945,1,-0.42108906
2.430204,1,-0.41148808
2.4869064,1,-0.40210601
2.5449317,1,-0.39293786
2.6043109,1,-0.38397874
2.6650755,1,-0.37522389
2.7272579,1,-0.36666866
2.7908912,1,-0.35830849
2.8560092,1,-0.35013893
2.9226465,1,-0.34215564
2.9908387,1,-0.33435438
3.0606219,1,-0.32673098
3.1320333,1,-0.3192814
3.205111,1,-0.31200168
3.2798937,1,-0.30488793
3.3564212,1,-0.29793638
3.4347344,1,-0.29114333
3.5148747,1,-0.28450516
3.5968849,1,-0.27801835
3.6808086,1,-0.27167943
3.7666905,1,-0.26548505
3.8545761,1,-0.2594319
3.9445124,1,-0.25351676
4.036547,1,-0.24773649
4.1307291,1,-0.24208801
4.2271086,1,-0.23656832
4.3257369,1,-0.23117449
4.4266664,1,-0.22590363
4.5299508,1,-0.22075295
4.6356451,1,-0.2157197
4.7438055,1,-0.21080122
4.8544896,1,-0.20599488
4.9677561,1,-0.20129813
5.0836654,1,-0.19670846
5.2022792,1,-0.19222344
5.3236605,1,-0.18784068
5.4478739,1,-0.18355785
5.5749855,1,-0.17937266
5.7050629,1,-0.17528291
5.8381753,1,-0.1712864
5.9743935,1,-0.16738101
6.11379,1,-0.16356466
6.256439,1,-0.15983533
6.4024163,1,-0.15619103
6.5517995,1,-0.15262982
6.7046683,1,-0.14914981
6.8611038,1,-0.14574914
7.0211893,1,-0.14242601
7.18501,1,-0.13917865
7.3526531,1,-0.13600533
7.5242076,1,-0.13290436
7.6997649,1,-0.1298741
7.8794183,1,-0.12691292
8.0632635,1,-0.12401926
8.2513982,1,-0.12119158
8.4439225,1,-0.11842837
8.6409389,1,-0.11572816
8.8425521,1,-0.11308952
9.0488695,1,-0.11051104
9.2600007,1,-0.10799135
9.4760581,1,-0.10552911
9.6971566,1,-0.10312301
9.9234138,1,-0.10077177
10.15495,1,-0.098474142
10.391889,1,-0.096228897
10.634356,1,-0.094034845
10.88248,1,-0.091890819
11.136394,1,-0.089795676
11.396232,1,-0.087748304
11.662132,1,-0.085747613
11.934237,1,-0.083792537
12.212691,1,-0.081882039
12.497641,1,-0.0800151
12.78924,1,-0.078190728
13.087643,1,-0.076407953
13.393008,1,-0.074665825
13.705498,1,-0.072963419
14.025279,1,-0.071299828
14.352522,1,-0.069674167
14.6874,1,-0.068085572
15.030091,1,-0.066533198
15.380778,1,-0.065016218
15.739647,1,-0.063533826
16.10689,1,-0.062085233
16.482701,1,-0.060669668
16.867281,1,-0.059286379
17.260834,1,-0.057934629
17.663569,1,-0.0566137
18.075701,1,-0.055322888
18.49745,1,-0.054061507
18.929038,1,-0.052828886
19.370697,1,-0.051624369
19.82266,1,-0.050447316
20.285169,1,-0.0492971
20.758469,1,-0.048173109
21.242813,1,-0.047074745
21.738457,1,-0.046001425
22.245666,1,-0.044952577
22.764709,1,-0.043927643
23.295863,1,-0.042926077
23.839409,1,-0.041947348
24.395638,1,-0.040990934
24.964845,1,-0.040056327
25.547333,1,-0.039143029
26.143412,1,-0.038250554
26.753399,1,-0.037378428
27.377618,1,-0.036526187
28.016402,1,-0.035693378
28.670089,1,-0.034879556
29.339029,1,-0.03408429
30.023577,1,-0.033307157
30.724097,1,-0.032547742
31.440962,1,-0.031805643
32.174553,1,-0.031080463
32.92526,1,-0.030371818
33.693483,1,-0.02967933
34.479631,1,-0.029002631
35.284121,1,-0.028341361
36.107381,1,-0.027695168
36.949851,1,-0.027063709
37.811977,1,-0.026446647
38.694218,1,-0.025843654
39.597044,1,-0.02525441
40.520936,1,-0.024678601
41.466384,1,-0.02411592
42.433891,1,-0.023566069
43.423972,1,-0.023028755
44.437155,1,-0.022503691
45.473977,1,-0.021990599
46.534991,1,-0.021489206
47.620761,1,-0.020999245
48.731864,1,-0.020520455
49.868892,1,-0.020052581
51.032449,1,-0.019595375
52.223155,1,-0.019148594
53.441643,1,-0.018712
54.688561,1,-0.01828536
55.964572,1,-0.017868447
57.270356,1,-0.01746104
58.606607,1,-0.017062923
59.974035,1,-0.016673882
61.373369,1,-0.016293712
62.805353,1,-0.01592221
64.270748,1,-0.015559178
65.770334,1,-0.015204423
