w,re,im
0.001,0.999997,-0.001999996
0.0010233323,0.99999686,-0.0020466604
0.0010472091,0.99999671,-0.0020944135
0.0010716429,0.99999655,-0.0021432808
0.0010966468,0.99999639,-0.0021932883
0.0011222341,0.99999622,-0.0022444626
0.0011484185,0.99999604,-0.0022968309
0.0011752137,0.99999586,-0.002350421
0.0012026342,0.99999566,-0.0024052615
0.0012306945,0.99999546,-0.0024613815
0.0012594094,0.99999524,-0.0025188109
0.0012887944,0.99999502,-0.0025775802
0.001318865,0.99999478,-0.0026377208
0.0013496372,0.99999454,-0.0026992645
0.0013811273,0.99999428,-0.0027622441
0.0014133523,0.99999401,-0.0028266932
0.0014463291,0.99999372,-0.002892646
0.0014800753,0.99999343,-0.0029601376
0.0015146089,0.99999312,-0.0030292039
0.0015499482,0.99999279,-0.0030998816
0.0015861121,0.99999245,-0.0031722083
0.0016231198,0.9999921,-0.0032462226
0.001660991,0.99999172,-0.0033219637
0.0016997458,0.99999133,-0.0033994719
0.0017394048,0.99999092,-0.0034787886
0.0017799892,0.99999049,-0.0035599558
0.0018215205,0.99999005,-0.0036430168
0.0018640208,0.99998958,-0.0037280157
0.0019075127,0.99998908,-0.0038149977
0.0019520194,0.99998857,-0.0039040091
0.0019975646,0.99998803,-0.0039950973
0.0020441724,0.99998746,-0.0040883107
0.0020918677,0.99998687,-0.0041836989
0.0021406759,0.99998625,-0.0042813125
0.0021906228,0.9999856,-0.0043812036
0.0022417352,0.99998492,-0.0044834253
0.0022940401,0.99998421,-0.0045880319
0.0023475654,0.99998347,-0.004695079
0.0024023395,0.99998269,-0.0048046236
0.0024583917,0.99998187,-0.004916724
0.0025157517,0.99998101,-0.0050314398
0.0025744501,0.99998012,-0.0051488319
0.002634518,0.99997918,-0.0052689628
0.0026959874,0.9999782,-0.0053918965
0.0027588911,0.99997717,-0.0055176982
0.0028232625,0.99997609,-0.0056464349
0.0028891357,0.99997496,-0.005778175
0.002956546,0.99997378,-0.0059129886
0.0030255291,0.99997254,-0.0060509474
0.0030961217,0.99997124,-0.0061921248
0.0031683615,0.99996988,-0.0063365957
0.0032422867,0.99996846,-0.0064844371
0.0033179368,0.99996697,-0.0066357276
0.003395352,0.99996542,-0.0067905475
0.0034745735,0.99996378,-0.0069489792
0.0035556434,0.99996207,-0.007111107
0.0036386048,0.99996028,-0.007277017
0.003723502,0.99995841,-0.0074467974
0.0038103799,0.99995644,-0.0076205386
0.003899285,0.99995439,-0.0077983328
0.0039902644,0.99995223,-0.0079802746
0.0040833665,0.99994998,-0.0081664607
0.004178641,0.99994762,-0.0083569901
0.0042761384,0.99994515,-0.008551964
0.0043759107,0.99994256,-0.0087514862
0.0044780109,0.99993984,-0.0089556625
0.0045824933,0.999937,-0.0091646016
0.0046894135,0.99993403,-0.0093784146
0.0047988285,0.99993092,-0.0095972149
0.0049107963,0.99992766,-0.0098211189
0.0050253766,0.99992424,-0.010050246
0.0051426304,0.99992066,-0.010284717
0.0052626199,0.99991692,-0.010524657
0.0053854091,0.999913,-0.010770193
0.0055110632,0.99990889,-0.011021457
0.0056396492,0.99990459,-0.011278581
0.0057712353,0.99990008,-0.011541702
0.0059058917,0.99989537,-0.011810959
0.0060436899,0.99989043,-0.012086497
0.0061847032,0.99988526,-0.01236846
0.0063290068,0.99987984,-0.012657
0.0064766772,0.99987417,-0.012952268
0.0066277932,0.99986823,-0.013254422
0.006782435,0.99986201,-0.013563622
0.006940685,0.99985549,-0.013880033
0.0071026274,0.99984867,-0.014203822
0.0072683482,0.99984153,-0.014535161
0.0074379357,0.99983405,-0.014874226
0.0076114801,0.99982621,-0.015221196
0.0077890736,0.99981801,-0.015576257
0.0079708109,0.99980942,-0.015939596
0.0081567884,0.99980042,-0.016311406
0.0083471053,0.999791,-0.016691885
0.0085418627,0.99978114,-0.017081233
0.0087411643,0.99977081,-0.017479657
0.008945116,0.99975999,-0.017887369
0.0091538264,0.99974866,-0.018304585
0.0093674065,0.99973679,-0.018731525
0.0095859699,0.99972437,-0.019168417
0.0098096329,0.99971136,-0.01961549
0.010038514,0.99969774,-0.020072983
0.010272736,0.99968347,-0.020541137
0.010512423,0.99966853,-0.0210202
0.010757703,0.99965288,-0.021510426
0.011008705,0.9996365,-0.022012074
0.011265564,0.99961934,-0.022525409
0.011528415,0.99960138,-0.023050703
0.0117974,0.99958256,-0.023588234
0.012072661,0.99956286,-0.024138285
0.012354344,0.99954223,-0.024701148
0.0126426,0.99952062,-0.025277119
0.012937581,0.999498,-0.025866503
0.013239445,0.9994743,-0.02646961
0.013548352,0.99944949,-0.027086759
0.013864467,0.99942351,-0.027718276
0.014187957,0.99939631,-0.028364494
0.014518995,0.99936782,-0.029025752
0.014857757,0.99933798,-0.029702399
0.015204423,0.99930674,-0.030394792
0.015559178,0.99927403,-0.031103294
0.01592221,0.99923977,-0.031828279
0.016293712,0.9992039,-0.032570128
0.016673882,0.99916633,-0.033329229
0.017062923,0.99912699,-0.034105983
0.01746104,0.9990858,-0.034900796
0.017868447,0.99904267,-0.035714085
0.01828536,0.9989975,-0.036546276
0.018712,0.9989502,-0.037397806
0.019148594,0.99890067,-0.038269119
0.019595375,0.9988488,-0.039160671
